"Country Name","Country Code","Indicator Name","Indicator Code",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65141811527905,16.612529002320187,16.407292129835483,18.70274572224433,19.03345074274213,16.97344481179161,17.148507301121583,17.22342801421786,16.520311450533594,18.337778310509126,19.514362505383552,20.629443692764195,22.11572253896818,22.689884807070314,21.22143846238439,16.812073338464838,16.384667337874447,16.331769218706647,,,,
Andorra,AND,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.250032864466938,14.507443966738826,14.933150684931507,15.476631959302049,15.843400675980554,16.152288189778282,16.45696245188982,15.871049641178939,15.897892093336555,14.718364270951877,13.760280532885833,12.569562748438386,11.19964061829988,10.419314369312122,,
Afghanistan,AFG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.714097150370968,22.92120752408439,26.71254026563102,27.360217614386556,28.815465561911175,27.34470325826489,27.458932795688167,22.57588356291095,21.86234072946676,23.471751584412427,21.847324953087764,21.15326821868806,22.329216321067463,
Angola,AGO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,33.33333333333333,33.33333333333333,37.5,53.84615384615385,51.301115241635685,66.97839406643018,66.2567706045967,67.82067593624363,60.757741389496985,55.680940245615304,72.71737231378485,72.12295494190329,64.88381154152893,,,,,,,,,,,,,,
Albania,ALB,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,44.999999002445605,43.00006186150726,43.80017045454546,43.30004980806117,43.99999912780134,43.30012615311929,44.20011475445591,45.80015166290624,46.29997530573848,44.80006340559961,48.200797862382636,42.696905804015586,23.320558811982284,22.90170682247876,21.730684050965028,22.497941666082088,15.343845486392645,15.377651367094966,13.1098452791725,13.974746342477824,16.705372035261444,18.31487552232262,19.59607192287164,23.183297980186527,24.581582702516595,25.216510994840686,26.405233143517826,25.334354891628745,29.02167570291893,28.21559469099207,28.690546573536736,28.15350160470182,26.452597800624606,26.368330870391297,25.155078366991894,
"Arab World",ARB,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.215248126561626,40.21348037767291,,,,,46.30758370802395,45.03849794214115,45.68515433215538,47.51558792626749,49.01146822926344,52.411336740898264,53.127057834303656,52.27127618631151,55.0735223750636,,50.03085157865844,53.08016027865231,52.76550724126907,50.91628025117397,49.2584890975533,
"United Arab Emirates",ARE,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.82960779389021,47.833961134532395,49.48904175473122,52.055663790704145,56.0721979320801,58.35184384458583,55.28138383475684,,,,,,,,
Argentina,ARG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,48.41447642200884,49.60498849429591,47.383414382311365,47.03606528862816,47.386556887188874,42.27878963445896,45.95500489109013,45.58164895074697,43.35233173168457,43.59280262399283,50.141323678472006,50.89369683123637,47.806132194561364,46.09764801247208,44.02812379585249,41.21966566642952,40.3382267073251,41.10284864431987,41.556306512010224,39.70818793304001,39.276154571159296,37.38043489147746,37.82867526990481,38.486611082098285,42.347813069586074,36.02188134781353,32.72252825563223,30.683954902211408,29.22914356546763,29.024520003160475,28.441645389119795,28.821841540903108,29.528551859480945,29.001414565851764,28.293918355800617,28.063065416122523,27.035289545665158,32.400285613007945,34.90223599737485,34.67573287892548,34.67940092756143,35.111828784840746,33.60564631811106,33.119082506802016,31.73528637577806,30.90400094358713,31.127644978632784,29.789482987152805,28.786262255401123,28.761347373456793,
Armenia,ARM,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.95591095742381,49.24363057324841,39.40064643057898,26.949377292845263,36.978393229568155,31.986660038168164,32.58582675860292,33.1998286591864,30.75511287136497,32.196775525637975,38.9825393532569,36.40691627946604,38.9756128162814,41.987289381872664,41.1206473915956,45.29817774104084,44.657553407228676,43.908808278599636,43.54753147327586,35.805657981705224,37.03002646758603,33.838867456824765,31.175459062804624,30.04950521090521,28.600918735196263,
"American Samoa",ASM,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",ATG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,15.285741289143722,13.834951456310678,15.782938606576224,18.114645718285757,18.463611859838274,14.608690168379896,14.24279014911123,15.404635022927252,16.56967448999169,19.09220988571118,20.312910250667986,20.86900991776466,22.038461088287274,20.101166095928736,20.86713969051937,19.388038085847224,18.194335545313727,18.032887202664547,18.353006303683994,17.870931252407846,18.169866095177298,18.307170131523122,19.371203524464324,16.403244352926265,15.116803385162516,15.073751114789887,15.334270934184149,15.54932463962104,17.143428046915048,21.791409325814477,21.39324500979372,22.707798060723068,22.726926013370004,19.10923902910479,17.080356847986927,16.639923007088072,18.052142819627264,18.031215921120978,
Australia,AUS,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,39.10026081182973,38.67500047243035,37.193165924210604,38.68854638894474,39.021802813510426,38.59549237071572,37.939999568839596,37.46810899973188,37.83941496778979,39.109799333085874,37.82810004887177,36.714158677626294,36.75865508618171,37.32788529713175,37.04769501677326,34.56945370849995,33.052595031782225,31.360042553006313,31.343650471325052,30.238042943951136,29.47811499789023,29.1712924611494,29.127614554788583,28.984507954632793,28.47346844696159,27.64424251784398,27.732879468653433,26.855085918478167,26.776897537885013,25.968500074511947,25.785954680637264,26.383558980691852,26.204417064938433,26.776207324965632,27.88820376152342,27.896488693417197,27.733709356641878,28.936495127581768,27.107862006716488,28.55115917770202,28.280016183086953,26.864998493122105,27.065395529420016,
Austria,AUT,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,38.41434596839025,38.038855961868194,38.20570794175575,37.11656416713594,37.152151116338175,36.77131558294122,35.83202554127874,35.35995385560607,34.33160060793038,34.61159897333934,34.26107958789192,33.6815835114602,33.50653665721219,33.21625299060566,33.37836541699719,33.316085437237646,32.744401696954654,31.91017241020196,32.01373775474347,32.157276867535884,32.22740036783066,32.155745543456796,31.988374223087412,31.98188237989233,31.643645433448874,31.483947261008165,30.616172532133014,30.659170454027784,30.60138520096473,30.36334280433884,30.489882607219265,30.825590957483485,30.129845036443964,28.91715371475553,28.68898678017756,28.532832244645217,28.78856962242428,28.26599000137162,28.043808152924527,
Azerbaijan,AZE,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.909973851326114,31.382662170204323,39.96595937819131,33.78413654618474,28.204619373187732,33.598496393376,39.07732621539363,39.94543104686228,36.45683660416022,40.71044430348327,45.333303214439,47.178194975925116,50.17843756837118,52.58399577974642,54.71912667727996,63.59536973047685,68.71316336969716,68.49445155396504,70.22238481545372,61.08320753853895,64.0677573971342,65.58119042713983,63.052195362604834,62.07379158413092,58.304563159907275,
Burundi,BDI,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,10.167317373621172,10.435257606373208,11.602383192223266,12.478570704555567,13.079200768430828,13.479018098041559,12.791667136113208,13.993314638563906,16.096373793637493,16.571469689943548,12.619032068447522,13.410684918254812,15.447815405982881,15.500368461405131,13.840195868514883,13.001965228140799,13.51567132054937,17.126917168944782,16.6672836170071,19.6648512777545,18.963239776909703,19.596116218112012,21.172728175976275,22.44799667156143,22.478060428275203,19.248210075518244,12.630331782518725,15.627528468779447,15.84338139611332,16.20577510913298,16.932135829047628,16.49441296306406,16.698442651733146,17.03472315568989,17.702857563202627,18.453078517984313,16.71109630123292,18.03837321283058,15.983115623752212,16.631397252364177,16.70423196353318,16.899236077149887,16.8855633675957,17.733968681112003,18.31098745232376,
