Law & Prop.Rights;Sound Money;Export trade freedom;Regulations;polity;Population total;Use of IMF credit (current USD) per capita;GDP per capita in USD;Gross tertiary education enrollment percent;Fuel exports (% of merchandise exports)
6.74;8.63;8.6;6.81;10;10187576;-0.000065;5266.850061;39.687759;1.564099
5.82;6.96;6.08;7.59;-6;15308084;33.772483;5291.57565;59.603901;69.435
6.74;9.24;8.83;7.32;9;1379350;-0.000483;5308.346961;62.843761;5.318492
5.21;6.69;5.76;6.31;6;143518523;-0.000005;5323.473877;72.590233;61.774337
6.53;8.8;7.15;7.44;8;1864003;3.342269;5327.853518;10.05616;0.085237
4.95;8.18;7.25;7.06;9;2699838;456.880376;5332.474361;28.223301;24.45632
6.5;8.62;6.79;7.57;8;1895671;3.459461;5342.140336;10.18734;0.13362
6.3;7.9;7.99;5.91;9;5388720;-0.000124;5402.929754;28.431271;6.957858
4.3;7.87;6.64;6.75;7;44901660;3.919855;5433.706412;35.36916;47.256862
4.9;8.61;7.27;7.41;9;2707805;456.025452;5445.894718;30.82267;23.865312
4.02;7.12;5.69;5.47;2;36717132;50.100237;5447.403976;30.275471;97.196901
5.13;9.29;8.22;7.62;10;1233996;19.193741;5455.06563;23.532459;0.104092
4.8;7.2;4.87;5.7;2;38186135;48.321334;5491.614414;33.30463;96.722
6.28;9.24;8.16;6.75;10;3415213;-0.000195;5505.535669;68.017502;19.44443
5.14;7.04;6.88;6.8;7;66902958;22.265398;5539.494368;52.58112;5.398035
6.69;8.7;7.07;7.39;8;1967866;3.411818;5561.89824;21.626369;0.300339
6.99;6.6;7.39;7.99;3;25796124;7.704142;5564.173231;27.915569;13.421229
