"Country Name","Country Code","Indicator Name","Indicator Code",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,2618,2528,2371,2259,2237,2216,1986,2177,2453,2457,2506,2463,2249,1644,1611,1797,2097,2157,2101,2109,2118,2133,2386,2389,2572,3025,3510,4232,4702,4661,4660,4688,4774,4854,4896,
Albania,ALB,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,6484,6425,6294,6276,6306,6377,6335,6313,6370,6420,6561,4834,5754,6601,6437,7445,8284,7440,8279,9573,10177,10986,11456,12034,12648,13364,14045,14812,15543,17080,17730,17768,17417,18474,18582,
"Arab World",ARB,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13871.604975903201,14516.7203589618,14391.551666554418,14140.366772547495,14385.516554505984,14580.07630948384,14711.950444769802,14907.926553430334,14774.085025000148,15194.924596574298,15255.964698203066,15450.455776256826,15951.014845087308,16246.560435719453,16533.31193773755,16733.502543473085,16720.669653009278,17017.032621104234,16912.119601302533,17207.316579563572,17335.94820797695,17046.856776965535,16791.109759737585,16767.221871254118,
"United Arab Emirates",ARE,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,52437,51179,45087,41220,41256,38462,28757,28215,26479,27410,28659,26809,25556,23866,23698,23810,23801,24303,23429,23068,24204,23370,22612,23044,23730,23189,23775,23034,22591,20353,19720,19878,20075,20434,20731,
Argentina,ARG,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,23921,22496,21447,21539,21476,19911,20755,20857,20067,18657,18171,19314,20458,21898,23256,23714,24368,25036,25020,24180,23800,22906,20556,21062,21154,21930,22860,23788,24027,22854,24132,24856,24315,24530,24267,
Armenia,ARM,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,12281,12533,12791,12770,13082,13369,13255,12542,11846,12856,11711,10090,6224,5802,6346,6835,7442,8045,8858,9422,10137,11221,14758,16816,19025,21332,24271,27375,28861,25413,25626,27046,29033,30285,31009,
"American Samoa",ASM,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",ATG,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,34967,35583,35548,36192,37554,38274,37532,38418,38774,38845,38855,38993,40421,41768,42572,42499,43407,44838,46314,47331,47657,47783,48565,48976,49909,50059,49867,50523,50589,50645,50918,51328,52342,52879,53694,
