"Country Name","Country Code","Indicator Name","Indicator Code",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,3,3,3
Angola,AGO,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,8,8,8,8,8,8,8,8
Albania,ALB,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,11,8,7,7,7,6,6,6,6
"Arab World",ARB,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.846153846153847,11.125,10.833333333333334,10.833333333333334,9.95,9.05,8.8,8.9,8.75,8.666666666666666,8.380952380952381,8.19047619047619,8.047619047619047
"United Arab Emirates",ARE,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,9,9,8,8,7,6,6,6,6
Argentina,ARG,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,14,14,14,14,14,14,14,14
Armenia,ARM,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,5,5,3,3,2,2,2
"American Samoa",ASM,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",ATG,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8
Australia,AUS,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3
Austria,AUT,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8
Azerbaijan,AZE,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,13,13,12,6,6,6,6,6,3,3,2
Burundi,BDI,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,4,3,3,3
Belgium,BEL,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,4,4,3,3,3,3,3,3,3,3,3
Benin,BEN,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,9,8,7,7,7
"Burkina Faso",BFA,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,8,6,5,4,4,3,3,3,3,3
Bangladesh,BGD,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9
Bulgaria,BGR,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,9,9,4,4,4,4,4,4,4,4
Bahrain,BHR,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7
"Bahamas, The",BHS,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,8
"Bosnia and Herzegovina",BIH,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,13,13,13,13,13,13,13,12,12,12,12
Belarus,BLR,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,10,8,6,6,6,6,5,5,3
Belize,BLZ,"Start-up procedures to register a business (number)",IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9
